#;Město;Okres
479;Žlutice;okres Karlovy Vary
480;Horní Jiřetín;okres Most
481;Nová Včelnice;okres Jindřichův Hradec
482;Hroznětín;okres Karlovy Vary
483;Budyně nad Ohří;okres Litoměřice
484;Kopidlno;okres Jičín
485;Zásmuky;okres Kolín
486;Nový Knín;okres Příbram
487;Jistebnice;okres Tábor
488;Rokytnice v Orlických horách;okres Rychnov nad Kněžnou
489;Proseč;okres Chrudim
490;Horní Jelení;okres Pardubice
491;Mikulášovice;okres Děčín
492;Hranice;okres Cheb
493;Borohrádek;okres Rychnov nad Kněžnou
494;Velký Šenov;okres Děčín
495;Hrob;okres Teplice
496;Kouřim;okres Kolín
497;Smečno;okres Kladno
498;Svoboda nad Úpou;okres Trutnov
499;Horní Planá;okres Český Krumlov
500;Lučany nad Nisou;okres Jablonec nad Nisou
501;Hostomice;okres Beroun
502;Žandov;okres Česká Lípa
503;Němčice nad Hanou;okres Prostějov
504;Štíty;okres Šumperk
505;Skalná;okres Cheb
506;Třebenice;okres Litoměřice
507;Plesná;okres Cheb
508;Bochov;okres Karlovy Vary
509;Horní Cerekev;okres Pelhřimov
510;Libáň;okres Jičín
511;Vroutek;okres Louny
512;Seč;okres Chrudim
513;Radnice;okres Rokycany
514;Hrotovice;okres Třebíč
515;Lomnice nad Lužnicí;okres Jindřichův Hradec
516;Černovice;okres Pelhřimov
517;Hoštka;okres Litoměřice
518;Bělá nad Radbuzou;okres Domažlice
519;Vlachovo Březí;okres Prachatice
520;Všeruby;okres Plzeň-sever
521;Rožďalovice;okres Nymburk
522;Nasavrky;okres Chrudim
523;Bavorov;okres Strakonice
524;Kladruby;okres Tachov
525;Staré Město;okres Šumperk
526;Dubá;okres Česká Lípa
527;Ronov nad Doubravou;okres Chrudim
528;Dolní Poustevna;okres Děčín
529;Švihov;okres Klatovy
530;Oloví;okres Sokolov
531;Jesenice;okres Rakovník
532;Plánice;okres Klatovy
533;Mirovice;okres Písek
534;Přimda;okres Tachov
535;Olešnice;okres Blansko
536;Teplice nad Metují;okres Náchod
537;Jablonec nad Jizerou;okres Semily
538;Mýto;okres Rokycany
539;Železná Ruda;okres Klatovy
540;Březová nad Svitavou;okres Svitavy
541;Bystré;okres Svitavy
542;Poběžovice;okres Domažlice
543;Kožlany;okres Plzeň-sever
544;Trhový Štěpánov;okres Benešov
545;Kasejovice;okres Plzeň-jih
546;Mšeno;okres Mělník
547;Železnice;okres Jičín
548;Husinec;okres Prachatice
549;Lázně Kynžvart;okres Cheb
550;Strmilov;okres Jindřichův Hradec
551;Harrachov;okres Jablonec nad Nisou
552;Rovensko pod Troskami;okres Semily
553;Kašperské Hory;okres Klatovy
554;Svratka;okres Žďár nad Sázavou
555;Strážov;okres Klatovy
556;Chřibská;okres Děčín
557;Habry;okres Havlíčkův Brod
558;Brandýs nad Orlicí;okres Ústí nad Orlicí
559;Vysoké nad Jizerou;okres Semily
560;Sedlice;okres Strakonice
561;Potštát;okres Přerov
562;Mirotice;okres Písek
563;Pilníkov;okres Trutnov
564;Hostouň;okres Domažlice
565;Černošín;okres Tachov
566;Vidnava;okres Jeseník
567;Osečná;okres Liberec
568;Verneřice;okres Děčín
569;Úsov;okres Šumperk
570;Jevišovice;okres Znojmo
571;Nalžovské Hory;okres Klatovy
572;Krásná Hora nad Vltavou;okres Příbram
573;Manětín;okres Plzeň-sever
574;Špindlerův Mlýn;okres Trutnov
575;Žulová;okres Jeseník
576;Měčín;okres Klatovy
577;Liběchov;okres Mělník
578;Blšany;okres Louny
579;Bělčice;okres Strakonice
580;Červená Řečice;okres Pelhřimov
581;Miletín;okres Jičín
582;Bezdružice;okres Tachov
583;Hartmanice;okres Klatovy
584;Bečov nad Teplou;okres Karlovy Vary
585;Miličín;okres Benešov
586;Vysoké Veselí;okres Jičín
587;Stráž nad Nežárkou;okres Jindřichův Hradec
588;Abertamy;okres Karlovy Vary
589;Deštná;okres Jindřichův Hradec
590;Krásno;okres Sokolov
591;Pec pod Sněžkou;okres Trutnov
592;Janské Lázně;okres Trutnov
593;Lipnice nad Sázavou;okres Havlíčkův Brod
594;Stárkov;okres Náchod
595;Chyše;okres Karlovy Vary
596;Mašťov;okres Chomutov
597;Ledvice;okres Teplice
598;Rabí;okres Klatovy
599;Hora Svaté Kateřiny;okres Most
600;Úterý;okres Plzeň-sever
601;Krásné Údolí;okres Karlovy Vary
602;Rožmberk nad Vltavou;okres Český Krumlov
603;Horní Blatná;okres Karlovy Vary
604;Andělská Hora;okres Bruntál
605;Výsluní;okres Chomutov
606;Janov;okres Bruntál
607;Boží Dar;okres Karlovy Vary
608;Rejštejn;okres Klatovy
609;Loučná pod Klínovcem;okres Chomutov
610;Přebuz;okres Sokolov
